username,date,action
user002@domain.org,"2023-02-01 17:46:13","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login""2025-07-16 20:31:36",user001@domain.org,"Login erfolgreich"
"2025-07-16 20:31:39",user001@domain.org,"Logout durchgeführt"
"2025-07-16 20:31:57",user001@domain.org,"Login fehlgeschlagen"
"2025-07-16 20:32:30",user001@domain.org,"Login fehlgeschlagen"
"2025-07-16 20:32:46",user001@domain.org,"Login erfolgreich"
"2025-07-16 20:33:02",user001@domain.org,"Logout durchgeführt"
"2025-07-16 20:34:06",user001@domain.org,"Login erfolgreich"
"2025-07-16 20:34:23",user001@domain.org,"Logout durchgeführt"
"2025-07-16 20:35:49",user001@domain.org,"Login erfolgreich"
"2025-07-16 20:35:53",user001@domain.org,"Logout durchgeführt"
"2025-07-16 20:44:40",user001@domain.org,"Login erfolgreich"
"2025-07-17 18:27:48",user001@domain.org,"Logout durchgeführt"
